Brand,Model,Title,BodyType,Doors,Seats,Kilometres,Cylinders,EngineLiters,Fuel100KM,Color,City,State,Price,LogPrice,antigüedad,FuelType_Hybrid,FuelType_LPG,FuelType_Premium,FuelType_Unleaded,Transmission_Manual,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear,UsedOrNew_NEW,UsedOrNew_USED,Cluster,Año_Fabricacion
41,506,2016 Mitsubishi Triton GLX (4X4),8,-0.19541313184443815,-0.10229760166643412,0.7472175754753162,-0.3383172418380758,0.2445746496916485,-0.24735623347978206,17,302,1,26995.0,10.203443985863297,8,0,0,0,0,1,0,0,0,0,0,1,0,2016
14,187,2017 Fiat Doblo SWB (low),0,-2.386352565355528,-3.0702492154064758,0.20412884600963674,-0.3383172418380758,-1.0993996771634706,-1.7326082828428921,17,226,1,15990.0,9.679781342959442,7,0,0,0,0,0,0,1,0,0,0,1,0,2017
29,476,2016 Kia Sorento Platinum (4X4),6,-0.19541313184443815,1.7957787101786438,0.36198113433148205,-0.3383172418380758,-0.032174751477738864,0.07989804220789865,17,244,0,29990.0,10.30865261563529,8,0,0,0,0,0,1,0,0,0,0,1,3,2016
41,388,2019 Mitsubishi Outlander LS 7 Seat (awd),6,-0.19541313184443815,1.7957787101786438,0.028484153744980936,-0.3383172418380758,0.2445746496916485,-0.24735623347978206,17,434,6,30900.0,10.33854382482173,5,0,0,0,1,0,1,0,0,0,0,1,3,2019
29,479,2014 Kia Sportage Platinum (awd),6,-0.19541313184443815,-0.10229760166643412,-0.35184899696945676,-0.3383172418380758,-0.343375689043855,0.5846769589068472,4,50,6,24990.0,10.126271039034782,10,0,0,0,1,0,1,0,0,0,0,1,0,2014
57,317,2021 Toyota Kluger GXL Hybrid AWD,6,1.819493336867675,1.7957787101786438,-0.39611217241793767,-0.3383172418380758,0.3718035938769702,-1.2340854798774141,9,460,1,64990.0,11.082004077752629,3,1,0,0,0,0,1,0,0,0,0,1,2,2021
57,317,2017 Toyota Kluger GX (4X4),6,-0.19541313184443815,1.7957787101786438,0.46740544957449154,1.6778175690283474,1.349502966788858,0.9121008305373406,19,419,6,34990.0,10.462846164547514,7,0,0,0,1,0,1,0,0,0,0,1,1,2017
55,308,2020 Suzuki Jimny,6,-2.386352565355528,-1.0720922910481312,-1.0318984920424161,-0.3383172418380758,-1.3236755380648566,-0.7175808513378352,8,277,1,34990.0,10.462846164547514,4,0,0,0,1,1,0,0,0,0,0,1,3,2020
57,420,2008 Toyota RAV4 SX6,6,-0.19541313184443815,-0.10229760166643412,1.4021541936880384,1.6778175690283474,1.349502966788858,1.3484880314184966,1,66,1,14990.0,9.615205300012315,16,0,0,0,1,0,0,0,0,0,0,1,1,2008
22,94,2015 Holden Astra GTC,3,-1.5549521590937436,-0.10229760166643412,0.4471372427248311,-0.3383172418380758,-1.0993996771634706,-0.4188330459585895,2,465,3,11990.0,9.391911647379434,9,0,0,1,0,1,0,1,0,0,0,1,0,2015
57,289,2019 Toyota Hilux SR (4X4),8,-0.19541313184443815,-0.10229760166643412,0.7633746130705559,-0.3383172418380758,0.7156780925056878,0.4381156119934809,17,440,1,45999.0,10.736396675471232,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
42,373,2012 Nissan Murano TI,6,-0.19541313184443815,-0.10229760166643412,1.4762751714807247,1.6778175690283474,1.349502966788858,1.5138836901939885,17,272,3,9999.0,9.210340371976184,12,0,0,0,1,0,0,0,0,0,0,1,1,2012
57,289,2022 Toyota Hilux Workmate (4X2),8,-2.386352565355528,-3.0702492154064758,-0.592620628553964,-0.3383172418380758,0.6068650712314256,1.5138836901939885,9,191,1,36990.0,10.518429918794682,2,0,0,0,1,0,0,1,0,0,0,1,3,2022
29,425,2014 Kia RIO SI,3,1.819493336867675,-0.10229760166643412,-0.04075716900708602,-0.3383172418380758,-1.0993996771634706,-0.9053295196210648,17,139,6,14500.0,9.581972891547895,10,0,0,0,1,0,0,1,0,0,0,1,2,2014
42,397,2018 Nissan Pathfinder ST (4X2),6,-0.19541313184443815,1.7957787101786438,-0.4214106328922128,1.6778175690283474,1.349502966788858,1.0908028850453002,17,122,1,31485.0,10.357298281574574,6,0,0,1,0,0,0,1,0,0,0,1,1,2018
37,20,2014 Mazda 3 Touring,3,1.819493336867675,-0.10229760166643412,0.5781983222508039,-0.3383172418380758,-0.343375689043855,-1.1000776658104299,17,398,0,17980.0,9.797070923831638,10,0,0,0,1,0,0,1,0,0,0,1,2,2014
29,479,2021 Kia Sportage S (fwd),6,-0.19541313184443815,-0.10229760166643412,-0.7823143405788336,-0.3383172418380758,-0.343375689043855,0.13255038682889927,1,81,6,30890.0,10.33822015832486,3,0,0,0,1,0,0,1,0,0,0,1,3,2021
37,62,2006 Mazda 6 Classic,9,-0.19541313184443815,-0.10229760166643412,0.7540697274404724,-0.3383172418380758,0.11013084656684298,0.6326678384421505,15,139,6,7800.0,8.962007209588313,18,0,0,1,0,0,0,1,0,0,0,1,0,2006
15,439,2017 Ford Ranger XL 2.2 HI-Rider (4X2),8,-0.19541313184443815,-0.10229760166643412,0.9218027491233631,-0.3383172418380758,-0.032174751477738864,-0.08122822514728265,17,226,1,24990.0,10.126271039034782,7,0,0,0,0,0,0,0,0,1,0,1,0,2017
3,409,2022 Audi Q3 35 Tfsi,6,-0.19541313184443815,-0.10229760166643412,-1.9643571518928025,-0.3383172418380758,-1.5654268785583831,-0.24735623347978206,17,122,1,66490.0,11.10482187913902,2,0,0,1,0,0,0,1,0,0,0,0,3,2022
15,439,2013 Ford Ranger XLT 3.2 HI-Rider (4X2),8,-0.19541313184443815,-0.10229760166643412,1.1238797027660072,1.0210194626650004,1.1021325636208585,0.6326678384421505,9,189,0,23500.0,10.064798252418377,11,0,0,0,0,0,0,0,0,1,0,1,1,2013
15,221,2010 Ford Focus CL,3,1.819493336867675,-0.10229760166643412,0.9981574856439493,-0.3383172418380758,-0.343375689043855,0.2874903807664528,15,419,6,9500.0,9.15915233520675,14,0,0,0,1,0,0,1,0,0,0,1,0,2010
